date	suomi_pw	aero_pw
2019-07-07	   NaN	   NaN
2019-07-08	   NaN	   NaN
2019-07-09	   NaN	   NaN
2019-07-10	   NaN	   NaN
2019-07-11	   NaN	   NaN
2019-07-12	   NaN	   NaN
2019-07-13	   NaN	   NaN
2019-07-14	   NaN	   NaN
2019-07-15	   NaN	   NaN
2019-07-16	   NaN	   NaN
2019-07-17	   NaN	   NaN
2019-07-18	   NaN	   NaN
2019-07-19	   NaN	   NaN
2019-07-20	   NaN	   NaN
2019-07-21	   NaN	   NaN
2019-07-22	   NaN	   NaN
2019-07-23	   NaN	   NaN
2019-07-24	   NaN	   NaN
2019-07-25	   NaN	   NaN
2019-07-26	   NaN	   NaN
2019-07-27	   NaN	   NaN
2019-07-28	   NaN	   NaN
2019-07-29	   NaN	   NaN
2019-07-30	   NaN	   NaN
2019-07-31	   NaN	   NaN
2019-08-01	   NaN	   NaN
2019-08-02	   NaN	   NaN
2019-08-03	   NaN	   NaN
2019-08-04	   NaN	   NaN
2019-08-05	   NaN	   NaN
2019-08-06	   NaN	   NaN
2019-08-07	   NaN	   NaN
2019-08-08	   NaN	   NaN
2019-08-09	   NaN	   NaN
2019-08-10	   NaN	   NaN
2019-08-11	   NaN	   NaN
2019-08-12	   NaN	   NaN
2019-08-13	   NaN	   NaN
2019-08-14	   NaN	   NaN
2019-08-15	   NaN	   NaN
2019-08-16	   NaN	   NaN
2019-08-17	   NaN	   NaN
2019-08-18	   NaN	   NaN
2019-08-19	   NaN	   NaN
2019-08-20	   NaN	   NaN
2019-08-21	   NaN	   NaN
2019-08-22	   NaN	   NaN
2019-08-23	   NaN	   NaN
2019-08-24	   NaN	   NaN
2019-08-25	   NaN	   NaN
2019-08-26	   NaN	   NaN
2019-08-27	   NaN	   NaN
2019-08-28	   NaN	   NaN
2019-08-29	   NaN	   NaN
2019-08-30	   NaN	   NaN
2019-08-31	   NaN	   NaN
2019-09-01	   NaN	   NaN
2019-09-02	   NaN	   NaN
2019-09-03	   NaN	   NaN
2019-09-04	   NaN	   NaN
2019-09-05	   NaN	   NaN
2019-09-06	   NaN	   NaN
2019-09-07	   NaN	   NaN
2019-09-08	   NaN	   NaN
2019-09-09	   NaN	   NaN
2019-09-10	   NaN	   NaN
2019-09-11	   NaN	   NaN
2019-09-12	   NaN	   NaN
2019-09-13	   NaN	   NaN
2019-09-14	   NaN	   NaN
2019-09-15	   NaN	   NaN
2019-09-16	   NaN	   NaN
2019-09-17	   NaN	   NaN
2019-09-18	   NaN	   NaN
2019-09-19	   NaN	   NaN
2019-09-20	   NaN	   NaN
2019-09-21	   NaN	   NaN
2019-09-22	   NaN	   NaN
2019-09-23	   NaN	   NaN
2019-09-24	   NaN	   NaN
2019-09-25	   NaN	   NaN
2019-09-26	   NaN	   NaN
2019-09-27	16.950	   NaN
2019-09-28	13.485	   NaN
2019-09-29	 9.129	   NaN
2019-09-30	 8.268	   NaN
2019-10-01	   NaN	   NaN
2019-10-02	11.049	   NaN
2019-10-03	15.066	   NaN
2019-10-04	23.107	   NaN
2019-10-05	   NaN	   NaN
2019-10-06	   NaN	   NaN
2019-10-07	 9.590	   NaN
2019-10-08	12.233	   NaN
2019-10-09	10.408	   NaN
2019-10-10	   NaN	   NaN
2019-10-11	 1.811	   NaN
2019-10-12	 6.457	   NaN
